PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40053785,"Investigating Whether AI Will Replace Human Physicians and Understanding the Interplay of the Source of Consultation, Health-Related Stigma, and Explanations of Diagnoses on Patients' Evaluations of Medical Consultations: Randomized Factorial Experiment.",2025-Mar-05,None,None,Not Available
40053728,Perspectives on Using Artificial Intelligence to Derive Social Determinants of Health Data From Medical Records in Canada: Large Multijurisdictional Qualitative Study.,2025-Mar-06,None,None,Not Available
40053716,"Global Evidence on the Sustainability of Telemedicine in Outpatient and Primary Care During the First 2 Years of the COVID-19 Pandemic: Scoping Review Using the Nonadoption, Abandonment, Scale-Up, Spread, and Sustainability (NASSS) Framework.",2025-Feb-28,None,None,Not Available
40053715,GPT-4 as a Clinical Decision Support Tool in Ischemic Stroke Management: Evaluation Study.,2025-Mar-07,None,None,Not Available
40053692,Radiation Dose-Volume Effects on Negative Tumor-Draining Lymph Nodes Impacted T-Cell Activation and Prognosis in Esophageal Cancer with Chemoradiotherapy.,2025-Mar-07,Xu,"Enhance Human Health Through Pharma Technology Innovation, Shanghai, China.",Not Available
40053406,Reducing readmissions in the safety net through AI and automation.,2025-Mar,None,None,Not Available
40053403,Health equity in the era of large language models.,2025-Mar,None,None,Not Available
40052837,Treatment of Multiple Myeloma in Patients Refractory to Daratumumab/Anti-CD38 Monoclonal Antibodies: A Systematic Review.,2025-Mar,"Tan, Kacerek, Chaiyakunapruk","Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA., Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA., Department of Pharmacotherapy, College of Pharmacy, University of Utah, Salt Lake City, Utah, USA.",Not Available
40052277,Leveraging ChatGPT in cardiogeriatrics.,2025-Mar-06,Biondi-Zoccai,"Department of Medico-Surgical Sciences and Biotechnologies, Sapienza University, Latina, Italy.",Not Available
40051895,Practical Applications of Artificial Intelligence Diagnostic Systems in Fundus Retinal Disease Screening.,2025,None,None,Not Available
